Site.Code,Site,Subsite,Sampling.Time,Month,Data.Entered.by,Plot.ID,unique.ID,Prior.to.change,Previous.Spellings,Other.notes,Original.Species,Juvenile,Subspecies,Species,Subgenus,Genus,Tribe,Subfamily,Family,Superfamily,Subsection,Section,Parvorder,Infraorder,Suborder,Order,Superorder,Infraclass,Subclass,Class,Group,Taxa,Type.Partner,Type,Total.Abundance,Notes,Total.Abundance.to.1.mm,Measured.size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Dry.Mass.g,individuals/SizeCount,DW.(g),Vegetative.or.Flower,Shoot.ID
NC,NC.A,A,1,May,"Deaton,CD",14,NC.A.1.14,Abra.lioica,NA,NA,Abra.lioica,N,NA,Abra.lioica,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",12,NC.A.1.12,Abra.lioica,NA,NA,Abra.lioica,N,NA,Abra.lioica,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",11,NC.A.1.11,Abra.lioica,NA,NA,Abra.lioica,N,NA,Abra.lioica,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.B,B,1,May,"Deaton,CD",12,NC.B.1.12,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",17,NC.A.1.17,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",12,NC.A.1.12,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",11,NC.A.1.11,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",10,NC.A.1.10,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,7,FR.B.1.7,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,7,FR.B.1.7,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,13,FR.B.1.13,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,Either.A.lioica.or.A.aequalis.-.identifying.characteristics.damaged,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,12,FR.B.1.12,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,12,FR.B.1.12,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,11,FR.B.1.11,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,11,FR.B.1.11,Abra.sp.,NA,NA,Abra.sp.,N,NA,NA,NA,Abra,NA,NA,Semelidae,Tellinoidea,NA,NA,NA,NA,NA,Cardiida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,13,FR.B.1.13,Acanthochitona.fascicularis,NA,NA,Acanthochitona.fascicularis,N,NA,Acanthochitona.fascicularis,NA,Acanthochitona,NA,NA,Acanthochitonidae,Cryptoplacoidea,NA,NA,NA,NA,Acanthochitonina,Chitonida,NA,NA,Neoloricata,Polyplacophora,Chiton,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",11,NC.A.1.11,Accedomoera.vagor,NA,NA,Accedomoera.vagor,N,NA,Accedomoera.vagor,NA,Accedomoera,NA,NA,Pontogeneiidae,Calliopioidea,NA,NA,Hadziidira,Hadziida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,15,FR.B.1.15,Accedomoera.vagor,NA,NA,Accedomoera.vagor,N,NA,Accedomoera.vagor,NA,Accedomoera,NA,NA,Pontogeneiidae,Calliopioidea,NA,NA,Hadziidira,Hadziida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,14,FR.B.1.14,Accedomoera.vagor,NA,NA,Accedomoera.vagor,N,NA,Accedomoera.vagor,NA,Accedomoera,NA,NA,Pontogeneiidae,Calliopioidea,NA,NA,Hadziidira,Hadziida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,14,FR.B.1.14,Accedomoera.vagor,NA,NA,Accedomoera.vagor,N,NA,Accedomoera.vagor,NA,Accedomoera,NA,NA,Pontogeneiidae,Calliopioidea,NA,NA,Hadziidira,Hadziida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO,PO.A,A,1,August,MOREAU.Chlo_,6,PO.A.1.6,Acetes.americanus.carolinae,NA,NA,Acetes.americanus.carolinae,N,Acetes.americanus.carolinae,Acetes.americanus,NA,Acetes,NA,NA,Sergestidae,Sergestoidea,NA,NA,NA,NA,Dendrobranchiata,Decapoda,Eucarida,NA,Eumalacostraca,Malacostraca,Shrimp,Crustacean.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,WA.A,A,2,September,J.Chow,4,WA.A.2.4,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,WA.A,A,2,September,J.Chow,3,WA.A.2.3,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,WA.A,A,1,July,J.Chow,10,WA.A.1.10,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",2,NC.A.1.2,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",4,MA.B.2.4,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",3,MA.B.2.3,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",1,MA.B.2.1,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",9,MA.A.2.9,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",7,MA.A.2.7,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",6,MA.A.2.6,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",5,MA.A.2.5,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",20,MA.A.2.20,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",16,MA.A.2.16,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",14,MA.A.2.14,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",13,MA.A.2.13,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.A,A,2,August,"Hanley,TC",12,MA.A.2.12,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB,BB.A,A,1,July,J.Chow,2,BB.A.1.2,Acmea.testudinalis,Acmea.testudinalis,NA,Testudinalia.testudinalis,N,NA,Testudinalia.testudinalis,NA,Testudinalia,NA,NA,Lottiidae,Lottioidea,NA,NA,NA,NA,NA,NA,NA,NA,Patellogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,FALSE,Mesograzer,1,http://www.clarku.edu/departments/biology/biol201/2008/VLocker/website/LAcmaea.html,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",6,NC.A.1.6,Acteocina.canaliculata,NA,NA,Acteocina.canaliculata,N,NA,Acteocina.canaliculata,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,3,Possibly.A.candei.instead,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",20,MA.B.2.20,Acteocina.canaliculata,NA,NA,Acteocina.canaliculata,N,NA,Acteocina.canaliculata,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",19,MA.B.2.19,Acteocina.canaliculata,NA,NA,Acteocina.canaliculata,N,NA,Acteocina.canaliculata,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",17,MA.B.2.17,Acteocina.canaliculata,NA,NA,Acteocina.canaliculata,N,NA,Acteocina.canaliculata,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",15,MA.B.2.15,Acteocina.canaliculata,NA,NA,Acteocina.canaliculata,N,NA,Acteocina.canaliculata,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,MA.B,B,2,August,"Hanley,TC",13,MA.B.2.13,Acteocina.canaliculata,NA,NA,Acteocina.canaliculata,N,NA,Acteocina.canaliculata,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",14,NC.A.1.14,Acteocina.harpa,NA,NA,Acteocina.harpa,N,NA,Acteocina.harpa,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",12,NC.A.1.12,Acteocina.harpa,NA,NA,Acteocina.harpa,N,NA,Acteocina.harpa,NA,Acteocina,NA,NA,Acteocinidae,Bulloidea,NA,NA,NA,NA,NA,Cephalaspidea,NA,Opisthobranchia,Heterobranchia,Gastropoda,Gastropod,Mollusc.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
