Site.Code,Site,Sampling.Time,Unique.ID,Plot.ID,Leaf.PercN,Leaf.PercC,Leaf.CHN.Moldy,Shoots.Zmarina.per.m2,Mean.Sheath.Width.cm.,Mean.Shealth.Length.cm.,Mean.Longest.Leaft.Length.cm.,,Epibiota.Periphyton,Epibiota.Macroalgae,Epibiota.MobileInvertebrate,Epibiota.Seagrass,Epibiota.SessileInvertebrate,Epibiota.SD.Periphyton,Epibiota.SD.SessileInvertebrate,Epibiota.SD.Macroalgae,Epibiota.SD.TotalEpibiota,Std.Total.Abund.Mesograzers,Std.Total.Abund.Molluscs,Std.Total.Abund.Crustaceans,Std.Total.Abund.Amphipods,Std.Abund.Gammarids,Std.Abund.Caprellids,Std.Abund.Isopods,Std.Abund.Gastropods,Std.Abund.Polychaetes,Plot.Grazer.Richness,Std.Total.Biomass.Mesograzers,Std.Total.Biomass.Molluscs,Std.Total.Biomass.Crustaceans,Std.Total.Biomass.Amphipods,Std.Biomass.Gammarids,Std.Biomass.Caprellids,Std.Biomass.Isopods,Std.Biomass.Gastropods,Std.Biomass.Polychaetes,Mean.Above.Zmarina.g,Mean.Above.OtherSeagrass.g,Mean.Above.Total.macrophytes.core.g,Mean.Below.Zmarina.g,Mean.Below.OtherSeagrass.g,Mean.Total.Below.macrophytes.core.g,Mean.Macroalgae.g,Mean.Total.Seagrass.Biomass.Above,Mean.Total.Seagrass.Biomass.Below,TOTAL.Seagrass.Biomass,TOTAL.Macrophyte.Biomass,Macroalgae,Pdn.Amphipod,Pdn.Caprellid,Pdn.Gastropod,Pdn.Isopod,Pdn.Lettuce,Pdn.Shrimp,Pdn.Squid,Pdn.Crustacean
BB,BB.A,1,BB.A.1.11,11,2.540703535,34.54565048,Y,222.8163993,0.6625,7.95,34.25,,0.703,0,0,1.737,0,0.404720783,0,0,0.404720783,4.839558127,0,4.839558127,3.892688059,0.631246712,3.261441347,0.105207785,0,0,6,1.889005786,0,1.889005786,1.851025776,0.784008417,1.067017359,0.037980011,0,0,52,0,52,16,0,16,NA,52,16,68,68,306.622,1,NA,0,NA,1,NA,0,1
BB,BB.A,1,BB.A.1.12,12,2.826332569,33.45331573,Y,350.140056,0.9375,15.4,63.35,,1.408,0,0,3.86,0,0.364766839,0,0,0.364766839,13.18681319,0,13.18681319,12.91208791,1.785714286,11.12637363,0.137362637,0,0,9,7.948763736,0.041208791,7.907554945,7.879945055,4.541620879,3.338324176,0,0.041208791,0,82.5,0,82.5,33,0,33,NA,82.5,33,115.5,115.5,159.355,0,NA,0,NA,0,NA,1,0
BB,BB.A,1,BB.A.1.13,13,2.594689846,34.59199524,Y,636.6182837,0.6875,21.125,91.125,,2.818,0,0,2.818,0,1,0,0,1,2.06748874,0.147677767,1.919810972,1.772133205,1.25526102,0.516872185,0,0.147677767,0,8,0.89751163,0.394594994,0.502916636,0.492357676,0.378128923,0.114228753,0,0.394594994,0,414,0,414,147,0,147,NA,414,147,561,561,2.649,NA,NA,NA,NA,1,NA,1,NA
BB,BB.A,1,BB.A.1.14,14,2.434334755,35.80099106,Y,350.140056,0.925,23.525,85.925,,1.267,0,0,5.515,0,0.229737081,0,0,0.229737081,4.727116459,0,4.727116459,4.619681994,2.470992694,2.1486893,0.107434465,0,0,6,1.917812634,0,1.917812634,1.658250967,0.739793726,0.918457241,0.259561667,0,0,132,0,132,133,0,133,NA,132,133,265,265,15.738,1,NA,NA,NA,1,NA,1,1
BB,BB.A,1,BB.A.1.15,15,2.723138809,34.31196976,Y,413.8018844,0.82,27.025,113.675,,0.804,0,0,5.403,0,0.148806219,0,0,0.148806219,0.245619781,0.16374652,0.08187326,0.08187326,0,0.08187326,0,0.16374652,0,3,0.222777141,0.173080072,0.049697069,0.049697069,0,0.049697069,0,0.173080072,0,303.5,0,303.5,80.5,0,80.5,NA,303.5,80.5,384,384,0.875,1,NA,NA,NA,1,NA,0,1
BB,BB.A,1,BB.A.1.16,16,3.03084898,34.03266907,Y,79.57728545,0.825,13.55,52.325,,1.245,0,0,2.357,0,0.528213831,0,0,0.528213831,14.85289917,0.571265353,14.28163382,14.28163382,1.142530706,13.13910311,0,0.571265353,0,4,6.274493002,0.156241074,6.118251928,6.118251928,0.246215367,5.872036561,0,0.156241074,0,73,0,73,26,0,26,NA,73,26,99,99,64.26,0,NA,0,NA,0,NA,1,0
BB,BB.A,1,BB.A.1.17,17,2.782871723,35.28675079,N,222.8163993,0.6625,9.0125,72.725,,0.152,0,0,2.566,0,0.059236165,0,0,0.059236165,2.177205604,0.094661113,2.082544491,2.082544491,0.473305566,1.609238925,0,0.094661113,0,6,0.72198031,0.03739114,0.684589171,0.684589171,0.087372207,0.597216963,0,0.03739114,0,183,0,183,108,0,108,NA,183,108,291,291,9.985,0,NA,NA,NA,0,NA,0,0
BB,BB.A,1,BB.A.1.18,18,3.110911608,36.90607834,Y,127.3236567,0.7,13.825,65.7625,,0.381,0,0,2.269,0,0.167915381,0,0,0.167915381,1.854758168,0.428021116,1.426737052,1.426737052,0.142673705,1.284063347,0,0.428021116,0,4,1.257811385,0.674275931,0.583535454,0.583535454,0,0.583535454,0,0.674275931,0,208,0,208,93,0,93,NA,208,93,301,301,7.274,0,NA,0,NA,0,NA,0,0
BB,BB.A,1,BB.A.1.19,19,3.417699575,36.276577,Y,159.1545709,0.625,8.875,57.825,,0.932,0,0,2.082,0,0.447646494,0,0,0.447646494,12.24862888,1.279707495,10.96892139,10.78610603,3.473491773,7.31261426,0.182815356,1.279707495,0,10,12.38263254,0.443327239,11.9393053,5.173857404,1.216453382,3.957404022,6.765447898,0.443327239,0,146,0,146,28.5,0,28.5,NA,146,28.5,174.5,174.5,19.041,0,NA,0,NA,0,NA,0,0
BB,BB.A,1,BB.A.1.20,20,3.431146622,35.57040024,Y,509.2946269,0.7125,16.05,57.45,,0.807,0,0,2.69,0,0.3,0,0,0.3,9.914375845,1.201742527,8.712633318,8.712633318,1.80261379,6.910019528,0,1.201742527,0,6,3.693555656,0.36863452,3.324921136,3.324921136,0.432326874,2.892594262,0,0.36863452,0,117.5,0,117.5,64.5,0,64.5,NA,117.5,64.5,182,182,18.796,1,NA,1,NA,0,NA,0,1
BB,BB.B,1,BB.B.1.1,1,2.561345339,34.08238602,N,541.1255411,0.7,12.225,62.425,,0.386,0,0,2.07,0,0.18647343,0,0,0.18647343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.5,0,215.5,291,0,291,0,215.5,291,506.5,506.5,0,1,NA,0,NA,1,NA,0,1
BB,BB.B,1,BB.B.1.2,2,2.345352173,33.74735641,N,95.49274255,0.725,12.425,47.65,,0.664,0,0,2.286,2.481,0.290463692,1.085301837,0,1.375765529,4.941409007,0.705915572,4.235493435,3.953127206,0.141183114,3.811944091,0,0.705915572,0,5,2.291543131,1.18946774,1.102075392,1.04531978,0.020189185,1.025130594,0,1.18946774,0,211.5,0,211.5,128,0,128,0,211.5,128,339.5,339.5,0,1,NA,0,NA,1,NA,1,1
BB,BB.B,1,BB.B.1.3,3,2.004268169,33.45096588,N,413.8018844,0.825,13.075,63.15,,0.543,0,0,2.613,0,0.207807118,0,0,0.207807118,2.922349012,0.139159477,2.783189535,2.504870582,0.139159477,2.365711105,0.139159477,0.139159477,0,5,0.518786529,0.054967993,0.463818536,0.37753966,0.019899805,0.357639855,0.050236571,0.054967993,0,191,0,191,137,0,137,0,191,137,328,328,0,1,NA,0,NA,1,NA,1,1
BB,BB.B,1,BB.B.1.4,4,2.568216085,34.54442215,N,477.4637128,0.925,16.725,66.2,,0.595,0,0,3.425,0,0.173722628,0,0,0.173722628,4.149377593,0.202408663,3.94696893,3.137334278,0.202408663,2.934925615,0,0.202408663,0,5,2.67594373,1.869345208,0.806598522,0.580710454,0.106669365,0.474041089,0,1.869345208,0,176,0,176,128.5,0,128.5,0,176,128.5,304.5,304.5,0,1,NA,0,NA,0,NA,1,1
BB,BB.B,1,BB.B.1.5,5,1.884853005,31.80354309,N,572.9564553,0.725,13.35,68.525,,0.456,0,0,2.506,0,0.181963288,0,0,0.181963288,4.520731793,0,4.520731793,3.249275977,0.211909303,3.037366674,0,0,0,4,1.310235219,0,1.310235219,0.964752419,0.055520237,0.909232182,0,0,0,246.5,0,246.5,59,0,59,0,246.5,59,305.5,305.5,0,1,NA,1,NA,0,NA,0,1
BB,BB.B,1,BB.B.1.6,6,2.04253602,35.29281998,N,254.6473135,0.8,17.05,64.325,,0.507,0,0,2.653,0,0.19110441,0,0,0.19110441,8.898400541,0.337913945,8.560486596,7.096192836,0.337913945,6.758278892,0,0.337913945,0,5,3.44142825,1.014192386,2.427235864,2.064879477,0.050912368,2.01396711,0,1.014192386,0,111.5,0,111.5,211.5,0,211.5,0,111.5,211.5,323,323,0,1,NA,1,NA,0,NA,0,1
BB,BB.B,1,BB.B.1.7,7,1.687119484,33.73828125,N,190.9854851,0.8,12.075,51.425,,0.418,0,0,2.276,0,0.183655536,0,0,0.183655536,5.929690809,0.423549343,5.506141465,4.659042778,0,4.659042778,0,0.423549343,0,3,1.359593393,0.0643795,1.295213892,1.100381194,0.073697586,1.026683609,0,0.0643795,0,205,0,205,121,0,121,0,205,121,326,326,0,1,NA,0,NA,0,NA,1,1
BB,BB.B,1,BB.B.1.8,8,2.056959152,34.48915482,N,413.8018844,0.925,14.8,59.55,,0.461,0,0,4.406,0,0.10463005,0,0,0.10463005,6.111810174,0.898795614,5.21301456,4.853496315,0.539277368,4.314218947,0,0.898795614,0,5,7.504583858,6.412906705,1.091677153,0.948948409,0.126730182,0.822218228,0,6.412906705,0,235.5,0,235.5,249.5,0,249.5,0,235.5,249.5,485,485,0,1,NA,0,NA,0,NA,0,1
BB,BB.B,1,BB.B.1.9,9,1.630676031,34.39681625,N,254.6473135,0.825,13.275,55.475,,0.383,0,0,3.521,0,0.108775916,0,0,0.108775916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.5,0,259.5,182.5,0,182.5,0,259.5,182.5,442,442,0,1,NA,0,NA,1,NA,1,1
BB,BB.B,1,BB.B.1.10,10,1.6407125,32.55962753,N,222.8163993,0.85,15.475,76.175,,0.451,0,0,3.759,0,0.119978718,0,0,0.119978718,6.927006667,1.471988917,5.45501775,4.6757295,0.086587583,4.589141917,0.086587583,1.471988917,0,5,18.23170837,17.04857563,1.183132739,1.001558577,0.031258118,0.970300459,0,17.04857563,0,271.5,0,271.5,213,0,213,0,271.5,213,484.5,484.5,0,0,NA,0,NA,0,NA,0,0
BB,BB.B,1,BB.B.1.11,11,2.504442453,33.53513718,N,509.2946269,0.925,25.025,94.475,,0.879,0,0,6.645,15.926,0.13227991,2.39668924,0,2.52896915,10.49343159,0.240307594,10.253124,8.490868311,0.560717719,7.930150593,0.320410125,0.240307594,0,10,6.407161166,1.566645306,4.84051586,3.958026274,0.139057994,3.818968279,0.578500481,1.566645306,0,159.5,0,159.5,199,0,199,0,159.5,199,358.5,358.5,0,1,NA,0,NA,0,NA,1,1
BB,BB.B,1,BB.B.1.12,12,2.175728798,32.19400024,N,1145.912911,0.875,22.65,87.4,,0.865,0,0,5.844,0,0.148015058,0,0,0.148015058,2.598152425,0.649538106,1.948614319,0.938221709,0.938221709,0,0.072170901,0.649538106,0,7,7.528363164,4.295251155,3.233112009,0.220193418,0.217017898,0.00317552,2.670828522,4.295251155,0,311.5,0,311.5,222.5,0,222.5,0,311.5,222.5,534,534,0,1,NA,0,NA,0,NA,1,1
BB,BB.B,1,BB.B.1.13,13,2.49053669,33.59374619,N,509.2946269,0.9625,24.175,89.225,,0.397,0,0,6.698,0,0.059271424,0,0,0.059271424,5.698672912,1.483216237,4.215456674,4.137392662,0.234192037,3.903200625,0,1.483216237,0,6,3.664637002,3.043325527,0.621311475,0.61498829,0.076580796,0.538407494,0,3.043325527,0,223.5,0,223.5,182,0,182,0,223.5,182,405.5,405.5,0,0,NA,0,NA,0,NA,1,0
BB,BB.B,1,BB.B.1.14,14,1.645251989,32.28353119,N,445.6327986,0.775,20.7,80.15,,0.621,0,0,3.563,8.844,0.174291328,2.48217794,0,2.656469267,6.632478632,0.683760684,5.948717949,4.444444444,0.547008547,3.897435897,0,0.683760684,0,5,4.416957265,3.112410256,1.304547009,0.890871795,0.109606838,0.781264957,0,3.112410256,0,267.5,0,267.5,213,0,213,0,267.5,213,480.5,480.5,0,1,NA,0,NA,0,NA,1,1
BB,BB.B,1,BB.B.1.15,15,3.169179916,44.57437897,N,763.9419404,0.825,21.3,89.375,,0.855,0,0,5.167,0,0.165473195,0,0,0.165473195,2.233638597,0.33504579,1.898592808,0.22336386,0.22336386,0,0,0.33504579,0,4,4.811704266,4.081639491,0.730064776,0.117712754,0.117712754,0,0,4.081639491,0,280.5,0,280.5,179.5,0,179.5,0,280.5,179.5,460,460,0,1,NA,0,NA,0,NA,1,1
BB,BB.B,1,BB.B.1.16,16,1.849154592,24.97573471,N,222.8163993,0.825,16.625,70.75,,0.253,0,0,4.589,0.26,0.055131837,0.056657224,0,0.111789061,5.648299234,0.502071043,5.146228191,4.267603866,0,4.267603866,0,0.502071043,0,3,3.330362746,1.306890925,2.023471821,1.553909878,0,1.553909878,0,1.306890925,0,173,0,173,247.5,0,247.5,0,173,247.5,420.5,420.5,0,1,NA,0,NA,0,NA,0,1
BB,BB.B,1,BB.B.1.17,17,2.124500036,38.15991974,N,318.3091418,0.9,18.975,84.075,,0.572,0,0,5.426,8.027,0.105418356,1.479358644,0,1.584777,6.128334535,0.901225667,5.227108868,3.785147801,0.360490267,3.424657534,0,0.901225667,0,4,4.200793079,2.289653929,1.911139149,1.634282624,0.090843547,1.543439077,0,2.289653929,0,403.5,0,403.5,151,0,151,0,403.5,151,554.5,554.5,0,1,NA,0,NA,0,NA,0,1
BB,BB.B,1,BB.B.1.18,18,2.328992605,41.9046669,N,63.66182837,0.6,18.975,91.3,,0.744,0,0,6.585,0,0.112984055,0,0,0.112984055,4.06504065,0.793178663,3.271861987,2.577830656,0.594883998,1.982946659,0,0.793178663,0,7,5.106285941,2.719512195,2.386773746,2.209101725,0.155661313,2.053440412,0,2.719512195,0,236,0,236,219,0,219,0,236,219,455,455,0,1,NA,0,NA,1,NA,0,1
BB,BB.B,1,BB.B.1.19,19,1.441683769,29.40493011,N,222.8163993,0.875,15.875,77.875,,0.204,0,0,3.425,0,0.059562044,0,0,0.059562044,4.78202847,0,4.78202847,4.114768683,0.222419929,3.892348754,0,0,0,4,1.166481317,0,1.166481317,0.891681495,0.03180605,0.859875445,0,0,0,380.5,0,380.5,132,0,132,0,380.5,132,512.5,512.5,0,0,NA,0,NA,0,NA,1,0
BB,BB.B,1,BB.B.1.20,20,1.366449237,9.315045357,N,159.1545709,0.8,16.45,86.65,,0.334,0,0,4.908,0,0.06805216,0,0,0.06805216,10.2739726,2.243741143,8.03023146,5.786490316,1.417099669,4.369390647,0,2.243741143,0,6,8.31991025,4.438238073,3.881672178,2.660132263,0.416863486,2.243268777,0,4.438238073,0,262,0,262,202.5,0,202.5,0,262,202.5,464.5,464.5,0,1,NA,1,NA,0,NA,0,1
BC,BC.A,1,BC.A.1.1,1,1.828665972,27.74839783,N,95.49274255,0.83,19.11,68.26,,0.0328,0,0,5.7757,0,0.005678965,0,0,0.005678965,7.002252473,1.762804818,4.749779649,3.672510038,2.644207227,1.028302811,0.440701205,1.762804818,0.489668005,12,18.05205171,10.75761434,2.834394281,0.741553227,0.62809715,0.113456077,1.905738909,10.75761434,4.460043091,64,0,64,92,0,92,0,64,92,156,156,89.245,NA,NA,1,NA,1,NA,0,NA
BC,BC.A,1,BC.A.1.2,2,3.371038198,46.1453743,N,127.3236567,0.88,21.68,75.15,,0.0428,0,0,3.8683,0,0.011064292,0,0,0.011064292,3.97409479,0.588754784,2.281424787,2.281424787,1.913453047,0.36797174,0,0.588754784,1.103915219,6,10.43428025,1.775831616,0.414998528,0.414998528,0.378274948,0.03672358,0,1.775831616,8.243450103,34,0,34,100,0,100,0,34,100,134,134,147.286,1,NA,1,NA,0,NA,0,1
BC,BC.A,1,BC.A.1.3,3,1.653396964,26.04760933,N,NA,0.78,18.13,51.15,,0.0595,0,0,3.2055,0,0.018561847,0,0,0.018561847,5.944559164,4.693073024,0.938614605,0.938614605,0.62574307,0.312871535,0,4.693073024,0.312871535,4,41.57562105,37.70602591,0.183968463,0.183968463,0.157687254,0.026281209,0,37.70602591,3.685626682,53,0,53,92.5,0,92.5,0,53,92.5,145.5,145.5,104.403,1,NA,1,NA,1,NA,1,1
BC,BC.A,1,BC.A.1.4,4,2.491944551,35.05879593,N,NA,0.85,18.84,69.87,,0.0292,0,0,4.0672,0,0.007179386,0,0,0.007179386,7.343124166,2.503337784,3.00400534,2.837116155,2.002670227,0.834445928,0.166889186,2.503337784,1.835781041,8,36.78788385,16.39919893,7.479305741,1.30323765,1.011849132,0.291388518,6.176068091,16.39919893,12.90937917,59,0,59,120,0,120,0,59,120,179,179,91.046,1,NA,0,NA,0,NA,0,1
BC,BC.A,1,BC.A.1.5,5,2.823258877,35.59636688,N,NA,0.74,16.55,58.24,,0.0411,0,0,3.0574,0,0.013442795,0,0,0.013442795,5.217083739,1.061101777,2.82960474,2.299053851,1.680077814,0.618976037,0,1.061101777,1.326377222,10,20.63082501,7.033336281,2.197718631,2.023432664,1.894950924,0.12848174,0,7.033336281,11.39977009,64,0,64,82,0,82,0,64,82,146,146,87.98,1,NA,0,NA,1,NA,0,1
BC,BC.A,1,BC.A.1.6,6,2.696583986,35.7595253,N,95.49274255,0.72,20.04,54.26,,0.0275,0,0,2.0704,0,0.013282457,0,0,0.013282457,4.522078383,1.152686647,3.103387125,2.926050718,1.773364072,1.152686647,0.177336407,1.152686647,0.266004611,8,9.69001596,5.028994503,3.583614116,2.249778329,2.036442632,0.213335698,1.331796418,5.028994503,1.077407342,9.5,0,9.5,48.5,0,48.5,0,9.5,48.5,58,58,57.853,1,NA,1,NA,1,NA,1,1
BC,BC.A,1,BC.A.1.7,7,2.467096329,36.47344208,N,159.1545709,0.72,13.882,50.95,,0.0449,0,0,2.3312,0,0.019260467,0,0,0.019260467,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,40,52.5,0,52.5,0,40,52.5,92.5,92.5,80.8,1,NA,0,NA,0,NA,1,1
BC,BC.A,1,BC.A.1.8,8,3.019078732,36.34653091,Y,31.83091418,0.76,14.09,64.12,,0.0512,0,0,2.7178,0,0.018838767,0,0,0.018838767,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,40,19,0,19,0,40,19,59,59,108.544,1,NA,0,NA,1,NA,0,1
BC,BC.A,1,BC.A.1.9,9,2.435156822,35.87451935,N,31.83091418,0.74,18.95,68.312,,0.0152,0,0,2.547,0,0.005967805,0,0,0.005967805,3.768444949,1.044267877,2.133938706,1.816118048,1.634506243,0.181611805,0.272417707,1.044267877,0.590238365,9,13.38143019,5.626242906,5.467060159,3.670783201,3.639182747,0.031600454,1.777253121,5.626242906,2.288127128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.919,1,NA,0,NA,1,NA,1,1
BC,BC.A,1,BC.A.1.10,10,2.623648167,35.26968002,N,95.49274255,0.78,24.84,85.65,,0.0288,0,0,3.8295,0,0.007520564,0,0,0.007520564,4.501286082,2.50071449,1.286081738,1.143183767,0.714489854,0.428693913,0.142897971,2.50071449,0.714489854,10,17.62153472,11.82695056,1.586381823,1.56266076,1.222277794,0.340382967,0.02043441,11.82695056,4.208202344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.258,1,NA,0,NA,0,NA,1,1
BC,BC.A,1,BC.A.1.11,11,2.846409321,35.29810715,N,31.83091418,0.71,11.45,44.34,,0.0081,0,0,1.3993,0,0.005788609,0,0,0.005788609,4.903677758,1.576182137,2.802101576,2.276707531,1.22591944,1.050788091,0.525394046,1.576182137,0.525394046,6,19.59141856,5.268301226,9.830823117,0.739229422,0.344658494,0.394570928,9.083537653,5.268301226,4.492294221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.381,1,NA,0,NA,0,NA,1,1
BC,BC.A,1,BC.A.1.12,12,3.02150321,35.8368721,N,63.66182837,0.61,10.72,50.51,,0.0366,0,0,1.4485,0,0.025267518,0,0,0.025267518,9.382120359,2.680605817,4.020908725,3.484787562,2.144484654,1.340302908,0.268060582,2.680605817,2.680605817,11,61.654872,13.2597507,11.64227315,6.553947192,6.115534111,0.438413081,4.979225305,13.2597507,36.75284814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.481,1,NA,0,NA,0,NA,1,1
BC,BC.A,1,BC.A.1.13,13,2.984757185,35.34183121,N,31.83091418,0.73,17.93,54.05,,0.0277,0,0,1.8703,0,0.014810458,0,0,0.014810458,5.457025921,1.1368804,4.320145521,4.320145521,1.81900864,2.50113688,0,1.1368804,0,6,7.987949068,1.877671669,6.110277399,6.094588449,5.462255571,0.632332879,0,1.877671669,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.249,1,NA,0,NA,1,NA,1,1
